exercise_key,age_bucket,Gender,BMI_bucket,count,avg_calories,avg_duration,median_intensity,cal_norm,int_norm,score
exercise 7,18-30,Male,overweight,8,298.6087331375,38.0,8.0,0.8627847739577328,1.0,0.9176708643746396
exercise 10,18-30,Male,normal,28,310.72950320714284,41.92857142857143,7.0,0.8978059059750441,0.875,0.8886835435850264
exercise 5,18-30,Male,overweight,17,309.97217928235295,40.705882352941174,7.0,0.8956177330291384,0.875,0.887370639817483
exercise 3,18-30,Male,normal,19,280.0571363894737,42.78947368421053,8.0,0.8091827408268712,1.0,0.8855096444961228
exercise 2,18-30,Male,overweight,8,332.436283075,41.125,6.0,0.9605243635528257,0.75,0.8763146181316954
exercise 4,18-30,Male,overweight,15,346.09875156666664,42.2,5.0,0.9999999999999999,0.625,0.8499999999999999
exercise 6,18-30,Male,normal,22,343.7911509227273,43.68181818181818,5.0,0.9933325369320355,0.625,0.8459995221592213
exercise 8,18-30,Male,obese,17,285.66954980588235,45.88235294117647,7.0,0.8253989605936378,0.875,0.8452393763561827
exercise 3,18-30,Male,overweight,14,299.2760608142857,39.714285714285715,6.5,0.8647129163557187,0.8125,0.8438277498134312
exercise 10,18-30,Male,overweight,13,313.36900106923076,39.46153846153846,6.0,0.9054323358599825,0.75,0.8432594015159895
exercise 5,18-30,Male,obese,14,301.25973068571426,38.57142857142857,6.0,0.8704444304465647,0.75,0.8222666582679389
exercise 9,18-30,Male,obese,18,329.5981070722222,35.05555555555556,5.0,0.9523238832276861,0.625,0.8213943299366117
exercise 8,18-30,Male,normal,17,326.37488281764706,42.76470588235294,5.0,0.9430108642122036,0.625,0.8158065185273221
exercise 2,18-30,Male,normal,18,280.5461490277778,41.833333333333336,6.5,0.8105956688888492,0.8125,0.8113574013333095
exercise 6,18-30,Male,overweight,18,291.1792788222222,40.27777777777778,6.0,0.8413184893160018,0.75,0.8047910935896011
exercise 7,18-30,Male,obese,27,304.2655771555556,42.48148148148148,5.0,0.879129369228444,0.625,0.7774776215370663
exercise 1,18-30,Male,overweight,18,302.7593280666667,38.833333333333336,5.0,0.8747772902854526,0.625,0.7748663741712716
exercise 8,18-30,Male,overweight,15,322.14168126,43.06666666666667,4.0,0.9307796685246003,0.5,0.7584678011147601
exercise 9,18-30,Male,normal,24,292.95764000416665,40.166666666666664,5.0,0.8464567949986846,0.625,0.7578740769992107
exercise 2,18-30,Male,obese,16,318.11863739374996,39.9375,4.0,0.9191556917028432,0.5,0.7514934150217059
exercise 6,18-30,Male,obese,19,288.7249164263158,39.1578947368421,5.0,0.8342269803614148,0.625,0.7505361882168489
exercise 7,18-30,Male,normal,18,271.95068945555556,41.833333333333336,5.5,0.7857603883993541,0.6875,0.7464562330396125
exercise 9,18-30,Male,overweight,29,310.9908594344828,40.55172413793103,4.0,0.8985610552674262,0.5,0.7391366331604556
exercise 3,18-30,Male,obese,12,238.33697953333333,43.916666666666664,6.5,0.68863865718806,0.8125,0.7381831943128361
exercise 5,18-30,Male,normal,21,303.05667733809526,38.666666666666664,4.0,0.8756364360352785,0.5,0.7253818616211671
exercise 4,18-30,Male,obese,13,275.2833540846154,43.76923076923077,4.0,0.7953896188255664,0.5,0.6772337712953398
exercise 1,18-30,Male,obese,20,223.512511035,43.3,5.5,0.6458055974580604,0.6875,0.6624833584748362
exercise 10,18-30,Male,obese,20,294.53043452000003,40.0,3.0,0.8510011468887562,0.375,0.6606006881332537
exercise 1,18-30,Male,normal,17,234.53747863529412,35.588235294117645,5.0,0.6776605739651642,0.625,0.6565963443790985
exercise 4,18-30,Male,normal,16,282.46856003125004,39.875,2.5,0.8161501847452923,0.3125,0.6146901108471754
exercise 8,18-30,Male,underweight,0,,,,0.0,0.0,0.0
exercise 9,18-30,Male,underweight,0,,,,0.0,0.0,0.0
exercise 1,18-30,Male,underweight,0,,,,0.0,0.0,0.0
exercise 7,18-30,Male,underweight,0,,,,0.0,0.0,0.0
exercise 6,18-30,Male,underweight,0,,,,0.0,0.0,0.0
exercise 4,18-30,Male,underweight,0,,,,0.0,0.0,0.0
exercise 3,18-30,Male,underweight,0,,,,0.0,0.0,0.0
exercise 2,18-30,Male,underweight,0,,,,0.0,0.0,0.0
exercise 10,18-30,Male,underweight,0,,,,0.0,0.0,0.0
exercise 5,18-30,Male,underweight,0,,,,0.0,0.0,0.0
