exercise_key,age_bucket,Gender,BMI_bucket,count,avg_calories,avg_duration,median_intensity,cal_norm,int_norm,score
exercise 6,18-30,Female,overweight,11,285.3732808272727,34.18181818181818,8.0,0.7929261430512051,1.0,0.875755685830723
exercise 4,18-30,Female,normal,12,359.89894308333334,46.5,5.5,1.0,0.6875,0.875
exercise 7,18-30,Female,overweight,16,325.17509829375,41.125,6.5,0.9035177917109272,0.8125,0.8671106750265563
exercise 8,18-30,Female,obese,13,331.94411006923076,38.23076923076923,6.0,0.9223258818861556,0.75,0.8533955291316934
exercise 6,18-30,Female,obese,14,300.78777684999994,43.07142857142857,7.0,0.8357562105436737,0.875,0.8514537263262043
exercise 8,18-30,Female,overweight,18,296.4312173777778,39.333333333333336,7.0,0.8236512584287867,0.875,0.844190755057272
exercise 7,18-30,Female,obese,13,354.8280391153846,40.92307692307692,5.0,0.9859102004454218,0.625,0.8415461202672531
exercise 5,18-30,Female,overweight,18,336.05047367777775,43.111111111111114,5.5,0.9337356503432866,0.6875,0.835241390205972
exercise 9,18-30,Female,obese,14,288.9735643,41.142857142857146,7.0,0.8029297386213474,0.875,0.8317578431728085
exercise 5,18-30,Female,obese,19,318.6869447263158,38.26315789473684,6.0,0.8854900822882521,0.75,0.8312940493729513
exercise 4,18-30,Female,overweight,12,312.7929199833333,38.583333333333336,6.0,0.8691131941193482,0.75,0.8214679164716089
exercise 9,18-30,Female,overweight,11,275.16582382727273,43.54545454545455,7.0,0.7645641342257542,0.875,0.8087384805354525
exercise 5,18-30,Female,normal,20,334.92695802500003,40.55,5.0,0.930613897211276,0.625,0.8083683383267656
exercise 3,18-30,Female,obese,15,334.8191389533333,38.13333333333333,5.0,0.930314315693356,0.625,0.8081885894160136
exercise 6,18-30,Female,normal,18,304.6374593833333,42.0,6.0,0.8464527758082233,0.75,0.807871665484934
exercise 3,18-30,Female,overweight,17,331.20431044117646,39.35294117647059,5.0,0.9202703058910825,0.625,0.8021621835346495
exercise 7,18-30,Female,normal,18,296.9630632277778,47.666666666666664,6.0,0.8251290228407729,0.75,0.7950774137044638
exercise 8,18-30,Female,normal,22,311.68190626363634,36.27272727272727,5.5,0.866026178330475,0.6875,0.794615706998285
exercise 10,18-30,Female,normal,20,324.30840034000005,40.75,5.0,0.9011096213886562,0.625,0.7906657728331937
exercise 1,18-30,Female,obese,13,317.47992968461534,36.92307692307692,5.0,0.8821363212814548,0.625,0.7792817927688729
exercise 3,18-30,Female,normal,26,316.37550843076923,41.80769230769231,5.0,0.8790676230397086,0.625,0.7774405738238251
exercise 9,18-30,Female,normal,16,324.796029025,35.125,4.5,0.902464525853844,0.5625,0.7664787155123063
exercise 1,18-30,Female,normal,27,272.5578749740741,43.55555555555556,6.0,0.7573177977101319,0.75,0.7543906786260791
exercise 2,18-30,Female,overweight,13,298.5270736153846,37.92307692307692,4.0,0.8294747160351114,0.5,0.6976848296210668
exercise 10,18-30,Female,obese,20,294.661748275,39.65,4.0,0.8187346863276898,0.5,0.6912408117966138
exercise 2,18-30,Female,obese,12,320.5866720083333,45.583333333333336,3.0,0.8907685842636737,0.375,0.6844611505582042
exercise 4,18-30,Female,obese,13,256.5888309769231,35.92307692307692,5.0,0.7129468866417616,0.625,0.677768131985057
exercise 1,18-30,Female,overweight,14,280.0337464,41.785714285714285,4.0,0.7780899382501358,0.5,0.6668539629500815
exercise 2,18-30,Female,normal,18,247.36610444444446,33.833333333333336,4.5,0.6873210082952861,0.5625,0.6373926049771717
exercise 10,18-30,Female,overweight,14,227.33831430714284,40.642857142857146,5.0,0.6316726366559611,0.625,0.6290035819935766
exercise 8,18-30,Female,underweight,0,,,,0.0,0.0,0.0
exercise 9,18-30,Female,underweight,0,,,,0.0,0.0,0.0
exercise 1,18-30,Female,underweight,0,,,,0.0,0.0,0.0
exercise 7,18-30,Female,underweight,0,,,,0.0,0.0,0.0
exercise 6,18-30,Female,underweight,0,,,,0.0,0.0,0.0
exercise 4,18-30,Female,underweight,0,,,,0.0,0.0,0.0
exercise 3,18-30,Female,underweight,0,,,,0.0,0.0,0.0
exercise 2,18-30,Female,underweight,0,,,,0.0,0.0,0.0
exercise 10,18-30,Female,underweight,0,,,,0.0,0.0,0.0
exercise 5,18-30,Female,underweight,0,,,,0.0,0.0,0.0
